port_locode,country_code,location_code,port_name,function,status,coordinates
ATFNA,AT,FNA,Freudenau,1-3-----,RL,4811N 01626E
ATFPS,AT,FPS,Fulpmes,1-3-----,RL,4709N 01121E
ATFSU,AT,FSU,Faistenau,1-3-----,RL,4746N 01313E
ATGA6,AT,GA6,Gamlitz,1----6--,RL,4643N 01533E
ATGDN,AT,GDN,Gmunden,123-----,RL,4755N 01348E
ATGFS,AT,GFS,Greifenstein,123-----,RL,4820N 01614E
ATGGU,AT,GGU,Oggau,1-------,RL,4750N 01640E
ATGHH,AT,GHH,Haugsdorf,1-------,RL,4842N 01604E
ATGHJ,AT,GHJ,Krustetten,1----6--,RL,4822N 15400W
ATGRN,AT,GRN,Grein,123-----,RL,4813N 01450E
ATGSN,AT,GSN,Gutenstein,1-3-----,RL,4752N 01553E
ATHKM,AT,HKM,Hadersdorf-Kammern,1-3-----,RL,4827N 01543E
ATIEG,AT,IEG,Limberg,1-------,RL,4835N 01552E
ATITN,AT,ITN,Hausleiten,1-------,RL,4823N 01606E
ATJDD,AT,JDD,Judendorf,1----6--,RL,4707N 01521E
ATJPS,AT,JPS,Japons,1----6--,RL,4847N 01534E
ATKAM,AT,KAM,Kammern im Liesingtal,123-----,RL,4724N 01454E
ATKFD,AT,KFD,Knittelfeld,123-----,RL,4712N 01449E
ATKMB,AT,KMB,Krummnussbaum,123--6--,RL,4813N 01510E
ATKTT,AT,KTT,Kematen in Tirol,123--6--,RL,4715N 01116E
ATLKN,AT,LKN,Falkenstein,1-------,RL,4843N 01335E
ATLTS,AT,LTS,Leutschach,1----6--,RL,4640N 01528E
ATLTX,AT,LTX,Hainfeld,1-3-----,RL,4802N 01546E
ATLUA,AT,LUA,Lembach,1-3-----,RL,4829N 01353E
ATLZD,AT,LZD,Langenzersdorf,123-----,RL,4818N 01621E
ATMAB,AT,MAB,Marbach an der Donau,123-----,RL,4813N 01509E
ATMAN,AT,MAN,Manning,1-3-----,RL,4805N 01340E
ATMBS,AT,MBS,Morbisch am See,1----6--,RL,4745N 01640E
ATMKA,AT,MKA,Markt Allhau,1----6--,RL,4714N 01605E
ATMKC,AT,MKC,Mitterkirchen,1-3-----,RL,4811N 01442E
ATNAD,AT,NAD,Neuhofen an der Ybbs,1-3-----,RL,4803N 01451E
ATND2,AT,ND2,Nickelsdorf,1----6--,RL,4756N 01704E
ATNFN,AT,NFN,Neufelden,123-----,RL,4829N 01359E
ATNGG,AT,NGG,Neudegg,1----6--,RL,4829N 01553E
ATNNN,AT,NNN,Donnerskirchen,1-------,RL,4754N 01638E
ATNT9,AT,NT9,Muthmannsdorf,1-3-----,RL,4750N 01606E
ATNUZ,AT,NUZ,Nüziders,123-----,RL,4711N 00948E
ATOBU,AT,OBU,Oberneukirchen,1-------,RL,
ATOSH,AT,OSH,Ottensheim,123-----,RL,4820N 01411E
ATPAS,AT,PAS,Podersdorf am See,1-3-----,RL,4751N 01650E
ATPBU,AT,PBU,Persenbeug,123-----,RL,4811N 01504E
ATPET,AT,PET,Petzenkirchen,1----6--,RL,4808N 01509E
ATRAD,AT,RAD,Radstadt,123-----,RL,4723N 01327E
ATREG,AT,REG,Regau,1----6--,RL,4805N 01408E
ATRHN,AT,RHN,Ranshofen,1-3-----,RL,4814N 01300E
ATRHR,AT,RHR,Rohrau,1----6--,RL,4804N 01651E
ATRRF,AT,RRF,Ruhrsdorf,1-------,RL,4824N 01530E
ATRTV,AT,RTV,Gallbrunn,1----6--,RL,
ATSAG,AT,SAG,Schutzen am Gebirge,1----6--,RL,4751N 01637E
ATSAK,AT,SAK,Sankt Aegidi,1-3-----,RL,4829N 01345E
ATSFT,AT,SFT,Senftenberg,1----6--,RL,4826N 01533E
ATSGS,AT,SGS,Sankt Georgen bei Salzburg,123-----,RL,4759N 01253E
ATSK3,AT,SK3,Sankt Margrethen,1----6--,RL,4638N 01423E
ATSMK,AT,SMK,Schönau im Mühlkreis,1----6--,RL,4823N 01444E
ATSMR,AT,SMR,Sankt Margarethen an der Raab,1-3-----,RL,4703N 01545E
ATSPG,AT,SPG,Spannberg,1----6--,RL,4827N 01644E
ATSPZ,AT,SPZ,Spitz,123-----,RL,4822N 01525E
ATSSS,AT,SSS,Steinberg,1----6--,RL,4729N 01629E
ATST6,AT,ST6,Straden,1----6--,RL,4648N 01552E
ATSTD,AT,STD,Steeg,1-3-----,RL,4736N 01338E
ATSUH,AT,SUH,Sankt Ulrich,1----6--,RL,4836N 01646E
ATSUS,AT,SUS,Steinhaus,1----6--,RL,4807N 01401E
ATSVM,AT,SVM,Sankt Veit im Mühlkreis,1-3-----,RL,4828N 01409E
ATSWH,AT,SWH,Gross-Schweinbarth,1-3-----,RL,4824N 01637E
ATSXA,AT,SXA,Bernhardsthal,1-3-----,RL,4841N 01652E
ATTAM,AT,TAM,Tamsweg,1----6--,RL,4708N 01348E
ATTEN,AT,TEN,Hausmannstatten,1-------,RL,4659N 01530E
ATTFS,AT,TFS,Terfens,123-----,RL,4719N 01139E
ATTHS,AT,THS,Theiss,1-3-----,RL,4823N 01541E
ATTKP,AT,TKP,Taufkirchen an der Pram,123--6--,RL,4825N 01332E
ATTMR,AT,TMR,Traismauer,123-----,RL,4820N 01544E
ATTTL,AT,TTL,Schrattenthal,1-------,RL,4842N 01554E
ATVEL,AT,VEL,Velden,123-----,RL,4637N 01403E
ATWDF,AT,WDF,Weitendorf,1-3-----,RL,4653N 01528E
ATWEU,AT,WEU,Weinburg,1-------,RL,4806N 01531E
ATWSE,AT,WSE,Wallsee,1-3-----,RL,4810N 01443E
ATWUL,AT,WUL,Wulkaprodersdorf,1-3-----,RL,4748N 01630E
ATXAE,AT,XAE,Oehling,1-3-----,RL,4806N 01448E
ATXXX,AT,XXX,RIS Inland waterways,1-------,AI,
ATZIN,AT,ZIN,Inzersdorf an der Traisen,1-------,RL,4819N 01540E
ATZLF,AT,ZLF,Jetzelsdorf,1-------,RL,4842N 01603E
ATZNG,AT,ZNG,Zobing,1-------,RL,4829N 01541E
ATZRF,AT,ZRF,Ketzelsdorf,1-------,RL,4839N 01639E
AU5CI,AU,5CI,Selby,1----6--,RL,3755S 14523E
AUABP,AU,ABP,Abbot Point,1-------,AC,1954S 14805E
AUADL,AU,ADL,Adelaide,12345---,AC,3455S 13835E
AUAGS,AU,AGS,Augusta,1-3-----,RL,3419S 11510E
AUAIR,AU,AIR,Airlie Terminal,1-------,AS,2120S 11510E
AUALD,AU,ALD,Aldgate,1----6--,RL,3501S 13844E
AUALH,AU,ALH,Albany,1--4----,AC,
AUALI,AU,ALI,Australind,1-3-----,RL,3317S 11543E
AUALP,AU,ALP,Abell Point,1-3-----,AC,2016S 14843E
AUAMR,AU,AMR,Amrun,1-------,AA,1255S 14137E
AUANN,AU,ANN,Annandale,1----6--,RL,3353S 15110E
AUAPP,AU,APP,Applecross,1----6--,RL,3201S 11550E
AUARD,AU,ARD,Ardrossan,1-------,AC,
AUASB,AU,ASB,Ashburton,1-3-----,AM,2141S 11500E
AUASH,AU,ASH,Ashton,1----6--,RL,3456S 13844E
AUATT,AU,ATT,Attadale,1----6--,RL,3201S 11547E
AUBAA,AU,BAA,Balhannah,1----6--,RL,3459S 13850E
AUBAE,AU,BAE,Baerami,1----6--,RL,3224S 15029E
AUBAH,AU,BAH,Ballast Head,1-------,AC,
AUBAL,AU,BAL,Balnarring,1----6--,RL,3822S 14508E
AUBAR,AU,BAR,Barry Beach,1-3-----,RL,3842S 14623E
AUBBG,AU,BBG,Bing Bong,1-------,RL,1536S 13621E
AUBBL,AU,BBL,Beelbangera,1-------,RL,3416S 14606E
AUBBY,AU,BBY,Bremer Bay,1-3-----,RL,3423S 11922E
AUBCH,AU,BCH,Beachport,1-------,AC,
AUBDB,AU,BDB,Bundaberg,1--4----,AC,
AUBDY,AU,BDY,Bomaderry,1----6--,RL,3451S 15037E
AUBE9,AU,BE9,Belrose,1----6--,RL,3344S 15113E
AUBEL,AU,BEL,Bell Bay,123-----,AC,
AUBFD,AU,BFD,Beresfield,1----6--,RL,3248S 15139E
AUBIC,AU,BIC,Bicheno,1----6--,RL,4152S 14817E
AUBKE,AU,BKE,Berkeley Vale,1----6--,RL,3321S 15126E
AUBLP,AU,BLP,Black Point,1-------,RL,1109S 13209E
AUBME,AU,BME,Broome,1--4----,AI,
AUBMW,AU,BMW,Broadmeadows,1-------,AC,
AUBNE,AU,BNE,Brisbane,12345---,AC,2728S 15301E
AUBNK,AU,BNK,Ballina,1--4----,AC,
AUBNN,AU,BNN,Bannockburn,1----6--,RL,3803S 14410E
AUBNY,AU,BNY,Blayney,123--6--,RL,3332S 14915E
AUBOB,AU,BOB,Bobin,1-----7-,RL,3143S 15217E
AUBOD,AU,BOD,Boondall,1----6--,RL,2720S 15303E
AUBOL,AU,BOL,Bridgewater-on-Loddon,1----6--,RL,3636S 14357E
